,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Netherlands,10113530,10264310,10381980,10493180,10615390,10750840,10889360,11026380,11186880,11347640,11486630,11638710,11805690,11965970,12127120,12294730,12456250,12598200,12729720,12877980,13038530,13194500,13328590,13439320,13545060,13666340,13774040,13856180,13941700,14038270,14149800,14247210,14312690,14367070,14424210,14491630,14572280,14665040,14760090,14848910,14951510,15069800,15184170,15290370,15382840,15459010,15530500,15610650,15707210,15812090,15925510,16046180,16148930,16225300,16281780,16319870,16346100,16381700,16445590,16530390,16615390,16693070,16754960,16804430,..
New Zealand,1909835,1949185,1997720,2049740,2096610,2141610,2187055,2236105,2289440,2337880,2381670,2432380,2488530,2541415,2591965,2640400,2687580,2728115,2758885,2788435,2828020,2875305,2929135,2992335,3058435,3117765,3153535,3164830,3165705,3164620,3170245,3185460,3210645,3245770,3278850,3298050,3308310,3327785,3343680,3357535,3390085,3495100,3531700,3572200,3620000,3673400,3732000,3781300,3815000,3835100,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700
Norway,3265127,3295871,3327736,3360892,3394243,3428210,3460779,3491935,3522996,3552852,3581239,3609800,3638917,3666537,3694338,3723167,3753012,3784539,3816486,3847706,3875763,3903039,3933003,3960612,3985257,4007313,4026151,4043205,4058671,4072517,4085620,4099701,4114787,4128432,4140099,4152516,4167354,4186905,4209487,4226901,4241473,4261732,4286400,4311991,4336612,4359183,4381335,4405156,4431464,4461913,4490966,4513751,4538159,4564854,4591910,4623291,4660676,4709152,4768211,4828725,4889252,4953000,5019000,5080000,5137000
Poland,24824010,25271000,25753000,26255000,26761500,27281000,27815000,28310000,28770000,29239950,29561300,29965300,30323900,30690900,31161200,31495900,31698000,31943900,32304800,32555100,32525800,32804810,33067990,33362740,33691010,34022130,34362130,34697580,35009860,35256640,35578020,35901960,36227380,36571420,36913520,37202980,37455680,37663760,37862060,37937000,38031000,38109000,38173000,38221000,38252000,38275000,38289000,38292000,38283000,38270000,38255940,38250790,38232300,38195180,38180250,38161310,38132280,38115970,38115910,38153390,38516690,38525670,38533790,..,..
Portugal,8439171,8493316,8556085,8581255,8605700,8640325,8683020,8712675,8749935,8800845,8857716,8929316,8993985,9030355,9035365,8998595,8930990,8874520,8836650,8757705,8680431,8643756,8630430,8633100,8754365,9093470,9355810,9455675,9558250,9661265,9766312,9851362,9911770,9957865,9996232,10023610,10032730,10030030,10019610,10005000,9983218,9960235,9952493,9964674,9991525,10026180,10063940,10108980,10160200,10217830,10289900,10362720,10419630,10458820,10483860,10503330,10522290,10542960,10558180,10568250,10573100,10557560,10514840,10457300,..
Slovak Republic,3463446,3508698,3558137,3598761,3661437,3726601,3787111,3844277,3899751,3946039,4068094,4191667,4238188,4282016,4327341,4370983,4411666,4449367,4483914,4518607,4538222,4557448,4596621,4641444,4689623,4739105,4789506,4840500,4890124,4938972,4979815,5016105,5055098,5091971,5127097,5161767,5193837,5222840,5250596,5275941,5299187,5303294,5305016,5325305,5346331,5361998,5373361,5383291,5390516,5396019,5388720,5378867,5376912,5373374,5372280,5372806,5373054,5374622,5379232,5386405,5391428,5398384,5407579,5415949,..
Slovenia,1473094,1485208,1497675,1509952,1521655,1532598,1542744,1552227,1561352,1570493,1584719,1594130,1603649,1616970,1632113,1649159,1669904,1689528,1704545,1713873,1724891,1729941,1741343,1753296,1766040,1778454,1786977,1799384,1810997,1824001,1884477,1896133,1910335,1922322,1932154,1941640,1980718,1989462,1999988,1999404,1998090,2001768,1995832,1990623,1988850,1987505,1991169,1986848,1982603,1985557,1990272,1992035,1995718,1996773,1997004,2001114,2008516,2019406,2022629,2042335,2049261,2052496,2056262,2059114,2061623
Spain,28008750,28249370,28489670,28728090,28964240,29198900,29434090,29673020,29919830,30179200,30455000,30739250,31023360,31296650,31609200,31954290,32283190,32682950,33113130,33441050,33814530,34191680,34502700,34817070,35154340,35530720,35939440,36370050,36872500,37201120,37439030,37764460,37987110,38160260,38325240,38467020,38571940,38682320,38764310,38821380,38860830,38941620,39147940,39356080,39547350,39718900,39884250,40049970,40214060,40369670,40554390,40766050,41423520,42196230,42859170,43662610,44360520,45236000,45983170,46367550,46562480,46736260,46766400,46593240,46464050
Sweden,7016496,7072824,7124675,7171458,7213487,7262384,7315622,7366998,7414468,7453705,7484656,7519997,7561588,7604327,7661353,7733853,7807797,7867931,7912273,7968071,8042800,8098334,8122299,8136312,8159955,8192437,8222285,8251540,8275598,8293677,8310530,8320502,8325263,8329032,8336605,8350386,8369829,8397804,8436488,8492963,8558834,8617375,8668066,8718561,8780745,8826938,8840997,8846062,8850973,8857874,8872109,8895960,8924958,8958229,8993531,9029572,9080504,9148092,9219637,9298514,9378126,9449212,9519374,9609000,..
Switzerland,4692704,4748057,4811514,4875565,4938609,5002000,5065550,5130100,5196400,5262750,5327827,5434294,5573815,5694247,5789228,5856472,5918002,5991785,6067714,6136387,6180882,6213405,6260956,6307348,6341406,6338632,6302505,6281175,6281737,6294364,6319409,6354073,6391309,6418774,6441865,6470366,6504125,6545107,6593387,6646912,6712273,6799979,6875364,6938265,6993795,7040687,7071851,7088906,7110002,7143991,7184250,7226647,7284754,7339002,7389626,7437116,7483935,7551117,7647676,7744000,7827970,7912398,..,..,..
Turkey,20807000,21351000,21952000,22569000,23204000,23857000,24540000,25250000,25981000,26733000,27506000,28227000,28931000,29652000,30391000,31149000,31936000,32750000,33586000,34443000,35321000,36215000,37133000,38073000,39037000,40026000,40916000,41769000,42641000,43531000,44439000,45540000,46688000,47864000,49070000,50307000,51480000,52370000,53268000,54192000,55120000,56055000,56986000,57913000,58837000,59756000,60671000,61582000,62464000,63364000,64268750,65166330,66002500,66794550,67598740,68435380,69295260,70158110,71051680,72039210,73142150,74223630,75175820,76054620,..
United Kingdom,50373000,50282000,50444000,50593000,50765000,50946000,51184000,51430000,51653000,51956000,52373000,52807000,53292000,53625000,53991000,54350000,54643000,54959000,55214000,55461000,55632000,55928000,56097000,56223000,56236000,56226000,56216000,56190000,56178000,56240000,56330000,56357000,56291000,56316000,56409000,56554000,56684000,56804000,56916000,57076000,57237000,57439000,57585000,57714000,57862000,58025000,58164000,58314000,58475000,58684000,58886000,59113000,58569630,58838950,59149120,59591040,60002570,60481820,60982380,61423720,61914640,62435200,62858800,63237940,63650010
United States,152271400,154877900,157552700,160184200,163025900,165931200,168903000,171984100,174881900,177829600,180671200,183691500,186537700,189241800,191888800,194303000,196560300,198712100,200706000,202676900,205052200,207660700,209896000,211908800,213853900,215973200,218035200,220239400,222584500,225055500,227224700,229465700,231664500,233792000,235824900,237923800,240132900,242288900,244499000,246819200,249622800,252980900,256514200,259918600,263125800,266278400,269394300,272646900,275854100,279040200,282162400,284969000,287625200,290107900,292805300,295516600,298379900,301231200,304094000,306771500,309347100,311721600,314112100,316497500,318857100
G7,457172100,463179200,468775100,474122300,479848000,485400800,490697800,496223900,502013100,507979100,513448000,519525300,525899700,532152400,538089900,543845800,548961300,554109200,558902500,563991600,568913500,574202100,580313700,585140200,589485600,594095900,597754000,601569900,605522800,609680800,613733100,617618100,621134800,624421800,627537400,630931000,634452000,638069800,641881900,646273700,651023000,656248400,661584000,666536600,670963000,675542300,679833600,684165500,688322000,692505400,696876200,701195300,704523300,708648000,713008000,717378800,721644000,726018200,730328600,734142700,738623400,741329200,744222400,747961100,..
OECD - Total,686657300,696425900,705887300,715112400,724797200,734553900,744168000,754045100,764275000,774806800,785071100,795798500,806873000,817884100,828751700,839314200,849123100,859032600,868766600,878559600,887833900,898252200,909325500,918989600,928429600,938352400,947078800,955727500,963929300,973047700,981926500,990819600,999280100,1007407000,1015287000,1023451000,1032025000,1040888000,1049768000,1058616000,1067386000,1077043000,1086732000,1095867000,1104389000,1112989000,1121135000,1129203000,1136902000,1144615000,1152639000,1160624000,1168022000,1176212000,1184415000,1192754000,1201155000,1210194000,1219475000,1227932000,1236914000,1243751000,1250277000,1257114000,..
World,2525779000,2572851000,2619292000,2665865000,2713172000,2761651000,2811572000,2863043000,2916030000,2970396000,3026003000,3082830000,3141072000,3201178000,3263739000,3329123000,3397475000,3468522000,3541675000,3616109000,3691173000,3766754000,3842874000,3919182000,3995305000,4071021000,4146136000,4220817000,4295665000,4371528000,4449049000,4528234000,4608963000,4691560000,4776393000,4863602000,4953377000,5045316000,5138215000,5230452000,5320817000,5408909000,5494900000,5578865000,5661086000,5741822000,5821017000,5898689000,5975304000,6051478000,6127700000,6204147000,6280854000,6357992000,6435705000,6514095000,6593228000,6673106000,6753649000,6834722000,6916184000,6997999000,7080072000,7162120000,..
Brazil,53974720,55669000,57422670,59215980,61036580,62879620,64748100,66652500,68609360,70639020,72758800,74975660,77279860,79642220,82021860,84388980,86735160,89068230,91394910,93727990,96078300,98445130,100828700,103242400,105703400,108224100,110804800,113442100,116138500,118895900,118562600,121381300,124250800,127140400,130082500,132999300,135814300,138585900,141313000,143997200,146592600,149094300,151546800,153985600,156430900,158875000,161323200,163779800,166252100,168753600,171279900,173808000,176303900,178741400,181105600,183383200,185564200,187641700,189612800,191480600,193252600,194932700,196526300,..,..
China (People's Republic of),543776100,558818800,571164900,581812500,591557800,600995100,610508200,620279000,630313900,640488600,650680100,660908800,671461800,682946600,696140000,711546600,729376600,749328900,770744300,792676800,814377700,835717100,856714900,876960300,896005200,913570200,929457300,943824200,957214200,970407800,984015700,998075300,1012534000,1027788000,1044294000,1062299000,1082029000,1103202000,1124928000,1145976000,1165429000,1183008000,1198875000,1213104000,1225922000,1237531000,1247897000,1257022000,1265223000,1272915000,1280429000,1287890000,1295322000,1302810000,1310414000,1318177000,1326146000,1334344000,1342733000,1351248000,1359821000,1368440000,1377065000,1385567000,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30802220,31440000,32096970,32767110,33446910,34130020,34830570,35520940,36207110,36853900,37472180,38068050,38635690,39184460,39730800,40295560,40813540,41328820,41848960,42368490,42888590,43405960,43926930,44451150,44978830,45509580,46044600,46581820,47121090,..
India,376325200,382205600,388408800,394937600,401792900,408973600,416476500,424296700,432427600,440862300,449595500,458626700,467962100,477616000,487607400,497952300,508656300,519722200,531161000,542983900,555199700,567805100,580798800,594193000,608002600,622232400,636883700,651935200,667339000,683032500,698965600,715105200,731443800,747986300,764749400,781736500,798941800,816328800,833833500,851374700,868890700,886348700,903749600,921107500,938452500,955804400,973147600,990460200,1007747000,1025015000,1042262000,1059501000,1076706000,1093787000,1110626000,1127144000,1143289000,1159095000,1174662000,1190138000,1205625000,1221156000,1236687000,1252140000,..
Indonesia,72592190,73641500,74822320,76136360,77582860,79158540,80857470,82671220,84589320,86600030,88692700,90860200,93101150,95420830,97828540,100329800,102924500,105605800,108364300,111187900,114066900,116996000,119974400,123002100,126080500,129210100,132385400,135601300,138857800,142156100,145494400,148872400,152280700,155698200,159097700,162458900,165772100,169039100,172265100,175460600,178633200,181786300,184916800,188019300,191085700,194112600,197097900,200050400,202990900,205946800,208938700,211970400,215038300,218145600,221293800,224480900,227709800,230972800,234243500,237486900,240676500,243801600,246864200,249865600,..
Russia,102702500,104248100,105950300,107743300,109574000,111401500,113197900,114947600,116646100,118297300,119905700,121469000,122970600,124376600,125644800,126749100,127674600,128441400,129103000,129734200,130391800,131095400,131838000,132616100,133417200,134232500,135063900,135919200,136801300,137713100,138655400,139619500,140598300,141593900,142609800,143033000,144230000,145461000,146494000,147332000,147969000,148394000,148538000,148459000,148408000,148376000,148160000,147915000,147671000,147215000,146597000,145976000,145306000,144649000,144067000,143519000,143050000,142805000,142742000,142785000,142849000,142961000,143207000,143507000,..
South Africa,13683160,13993890,14322410,14665140,15019630,15384560,15759810,16146410,16546320,16962180,17396370,17850040,18322340,18809940,19308170,19813950,20325230,20843780,21374930,21926160,22502500,23106810,23736490,24384540,25040940,25698860,26354140,27009760,27674450,28360820,29077140,29828870,30611210,31409910,32204950,32983010,33733410,34462640,35194900,35964540,36793490,37693620,38649660,39623500,40561780,41426810,42204040,42906580,43558280,44195890,44846290,45513220,46187790,46869030,47553020,48235290,48919360,49602780,50267490,50889540,51452350,51949040,52385920,..,..
