State,Location,System,Not_Reported,<60,60-94,95-119,120-144,145-170,171-194,195-220,>220,,,,State,Not_Reported,<60,60-94,95-119,120-144,145-170,171-194,195-220,>220,,Total,Not_Reported,Good_below95,Fair_95to170,Poor_above170,NotReported_Percent,Good_Percentage,Fair_Percentage,Poor
Missouri,Rural,Other Freeways & Expressways,0,584.388,416.305,81.839,27.125,9.997,3.174,1.494,1.164,,,,,,,,,,,,,,,,,,,,,,,
Montana,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,Rural,Other Freeways & Expressways,19,66.32,125.67,59.13,30.23,15.05,9.19,3.99,3,,,,,,,,,,,,,,,,,,,,,,,
Nevada,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,Rural,Other Freeways & Expressways,0,8.671,0.553,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,Rural,Other Freeways & Expressways,0,7.91,19,4.62,2.22,1.2,0,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
New York,Rural,Other Freeways & Expressways,3.24,24.42,83.55,31.49,20.47,10.26,4.06,2.23,1.19,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,Rural,Other Freeways & Expressways,0.49,226.092,146.817,24.747,9.318,6.717,2.355,0.983,2.154,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Ohio,Rural,Other Freeways & Expressways,0,132.207,135.186,41.819,14.459,6.492,2.407,0.7,1.221,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,Rural,Other Freeways & Expressways,0,0.1,0.901,0,0.2,0.2,0.2,0.1,0.4,,,,,,,,,,,,,,,,,,,,,,,
Oregon,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,Rural,Other Freeways & Expressways,0,112.007,158.651,38.232,14.759,9.401,6.568,4.641,5.954,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,Rural,Other Freeways & Expressways,0,3.9,1.707,2,2.005,0.9,0,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,Rural,Other Freeways & Expressways,0,10.085,26.653,4.055,3.121,0.2,0.35,0.1,0,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,Rural,Other Freeways & Expressways,0,107.865,103.073,47.225,21.838,6.558,2.395,1.525,0.328,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,Rural,Other Freeways & Expressways,0,9.031,5,0.23,0.117,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Texas,Rural,Other Freeways & Expressways,0.8,45.52,48.758,21.406,5.828,3.447,1.2,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,
Utah,Rural,Other Freeways & Expressways,0,0.348,3.8,3,1.011,0.6,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,
Vermont,Rural,Other Freeways & Expressways,0,0,0.595,1.09,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Virginia,Rural,Other Freeways & Expressways,0.162,19.488,58.354,10.769,2.386,0.744,0.342,0.124,0.041,,,,,,,,,,,,,,,,,,,,,,,
Washington,Rural,Other Freeways & Expressways,0,138.89,295.23,87.86,32.39,17.98,14.15,10.01,15.62,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,Rural,Other Freeways & Expressways,0,0,0.108,0.2,0,0.13,0,0,0.018,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,Rural,Other Freeways & Expressways,0,54.76,55.53,43.35,24.33,15.77,5.98,2.08,1.56,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Rural,Other Principal Arterial,3.653,964.143,812.668,137.734,51.035,27.777,12.45,8.404,10.823,,,,,,,,,,,,,,,,,,,,,,,
Alaska,Rural,Other Principal Arterial,320.561,60.021,105.969,45.953,45.059,45.609,35.09,32.921,108.068,,,,,,,,,,,,,,,,,,,,,,,
Arizona,Rural,Other Principal Arterial,43.19,385.168,398.051,165.611,103.662,58.459,28.246,15.683,12.84,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,Rural,Other Principal Arterial,0.116,353.684,823.875,322.016,185.981,100.097,45.522,25.053,20.578,,,,,,,,,,,,,,,,,,,,,,,
California,Rural,Other Principal Arterial,31.89,851.281,1368.049,474.586,236.877,128.435,65.548,46.705,60.555,,,,,,,,,,,,,,,,,,,,,,,
Colorado,Rural,Other Principal Arterial,0,600.39,1128.422,438.121,203.814,103.373,50.465,26.265,17.893,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,Rural,Other Principal Arterial,0,9.9,49.61,28.55,17.28,8.27,4.19,2.6,1.67,,,,,,,,,,,,,,,,,,,,,,,
