State,Location,System,Not_Reported,<60,60-94,95-119,120-144,145-170,171-194,195-220,>220
New York,Rural,Minor Arterial,18.79056,289.95085,1106.21693,586.00954,360.96001,195.42211,105.50819,43.90602,124.09349
North Carolina,Rural,Minor Arterial,16.63492,129.86992,1278.17392,460.91206,343.62593,192.77598,113.42396,44.86346,72.26144
North Dakota,Rural,Minor Arterial,4.61933,791.53878,1133.33434,306.61599,138.25369,59.36292,37.00211,21.42206,38.16208
Ohio,Rural,Minor Arterial,10.88768,626.27167,1337.19488,398.96278,156.68494,84.82561,33.6794,10.0396,6.8946
Oklahoma,Rural,Minor Arterial,23.08968,8.04593,14.12538,7.66553,6.29748,4.67338,1.45879,1.33003,2.87002
Oregon,Rural,Minor Arterial,10.20655,117.64474,977.40161,719.65543,260.16027,45.53245,28.74264,41.79552,0
Pennsylvania,Rural,Minor Arterial,18.5577,325.57061,1401.74791,1238.68657,656.62259,361.81887,194.80373,99.22157,170.5302
Rhode Island,Rural,Minor Arterial,0.04957,0,0,1.63654,2.67668,5.68929,6.69415,3.11207,3.53914
South Carolina,Rural,Minor Arterial,17.88049,344.12544,1238.47541,752.17995,333.35918,192.25933,65.63489,35.71714,23.29097
South Dakota,Rural,Minor Arterial,19.70542,497.556,1135.63957,555.17667,324.74132,189.31715,99.23335,51.61968,36.03042
Tennessee,Rural,Minor Arterial,37.52128,2.19164,20.97777,5.05764,0,0.031,0,5.6196,0
Texas,Rural,Minor Arterial,85.62792,14.4232,58.80798,160.47166,206.8795,104.63218,26.2044,9.2152,0
Utah,Rural,Minor Arterial,1.56527,148.31098,466.6589,273.02399,210.04521,108.81475,62.6889,22.29322,19.51963
Vermont,Rural,Minor Arterial,4.87669,99.32908,329.5777,132.6059,74.47732,45.65721,18.05655,16.77376,14.77017
Virginia,Rural,Minor Arterial,12.57302,170.8718,1670.34362,1096.57617,396.24612,162.71068,43.47128,16.73919,5.83624
Washington,Rural,Minor Arterial,11.81411,177.31878,620.03299,420.33597,284.18862,210.3248,125.02584,69.05935,117.93363
West Virginia,Rural,Minor Arterial,3.61448,25.19245,516.99282,384.85223,183.4232,106.92108,52.39042,38.43575,37.89218
Wisconsin,Rural,Minor Arterial,0,1220.07229,1270.31661,598.96823,468.24277,369.76346,239.96151,212.85108,250.18969
Wyoming,Rural,Minor Arterial,0,0,0,0,5.34124,3.4184,5.7725,17.4864,101.65225
Alabama,Urban,Interstate,0.868,260.294,75.982,30.951,23.622,18.404,10.995,6.249,5.674
Alaska,Urban,Interstate,0,28.112,28.288,11.862,5.391,2.929,0.8,0.293,1.051
