ID,Year,State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor,Percentage_Good,Percentage_Fair,Percentage_Poor,Area_Percentage_Good,Area_Percentage_Fair,Area_Percentage_Poor,Total_Tunnel ,Tunnel_Condition_Good,Tunnel_Condtion_Fair,Tunnel_Condition_Poor,Tunnel_Condition_Severe,Tunnel_Percentage_Good,Tunnel_Percentage_Fair,Tunnel_Percentage_Poor,Tunnel_Percentage_Severe,Road_Total,Road_Not_Reported,Road_Road_Good_below95,Road_Fair_95to170,Road_Poor_above170,Road_NotReported_Percentage,Road_Good_Percentage,Road_Fair_Percentage,Road_Poor_Percentage
44,2009,TEXAS,51146,27760,22128,1248,40430119,21663766,17940874,822296,0.542759942,0.432643804,0.024400735,0.535832358,0.443750215,0.020338698,,,,,,,,,,,,,,,,,,
45,2009,UTAH,2905,1728,1025,149,1775647,1086930,621714,66803,0.594836489,0.352839931,0.051290878,0.612131803,0.350133782,0.03762178,,,,,,,,,,,,,,,,,,
46,2009,VERMONT,2707,1102,1240,365,832802,337149,371816,123837,0.407092723,0.458071666,0.134835611,0.404836924,0.446463865,0.148699211,,,,,,,,,,,,,,,,,,
47,2009,VIRGINIA,13530,4939,7454,1134,8891028,3274945,5099981,508785,0.36504065,0.550923873,0.083813747,0.368342671,0.573609823,0.057224541,,,,,,,,,,,,,,,,,,
48,2009,WASHINGTON,7662,3846,3418,387,6746520,2290474,3875218,571793,0.501957713,0.446097625,0.050509005,0.339504515,0.574402507,0.084753769,,,,,,,,,,,,,,,,,,
49,2009,WEST VIRGINIA,7044,3287,2743,1013,3369435,1305442,1734876,329068,0.466638274,0.389409426,0.143810335,0.387436469,0.514886324,0.097662665,,,,,,,,,,,,,,,,,,
50,2009,WISCONSIN,13917,7456,5343,1107,6238795,3023560,2875183,338383,0.535747647,0.383918948,0.079543005,0.48463846,0.460855502,0.054238519,,,,,,,,,,,,,,,,,,
51,2009,WYOMING,3054,760,1876,382,1225167,211658,848839,162484,0.248853962,0.614276359,0.12508186,0.172758489,0.692835344,0.13262192,,,,,,,,,,,,,,,,,,
52,2009,PUERTO RICO,2181,497,1462,222,1963578,578717,1218052,166809,0.227877121,0.670334709,0.101788171,0.294725751,0.620322697,0.084951553,,,,,,,,,,,,,,,,,,
53,2009,TOTALS,603310,286540,255430,60817,347908822,156820005,160355021,30402251,0.474946545,0.423381015,0.100805556,0.450750297,0.460911052,0.087385686,,,,,,,,,,,,,,,,,,
1,2010,ALABAMA,16018,7599,7506,912,9168322,3963495,4921237,283382,0.474403796,0.468597827,0.056935947,0.432303207,0.536765288,0.030908818,,,,,,,,,,,,,,,,,,
2,2010,ALASKA,1134,481,510,141,655959,258350,328711,68712,0.424162257,0.44973545,0.124338624,0.393850835,0.501115161,0.104750449,,,,,,,,,,,,,,,,,,
3,2010,ARIZONA,7579,5129,2240,208,4812023,2695116,1956524,160130,0.676738356,0.295553503,0.027444254,0.560079617,0.406590742,0.033277065,,,,,,,,,,,,,,,,,,
4,2010,ARKANSAS,12587,7069,4876,642,5969446,3162825,2341452,465169,0.561611186,0.387383809,0.051005005,0.529835599,0.392239414,0.077924987,,,,,,,,,,,,,,,,,,
5,2010,CALIFORNIA,24558,10346,11047,3125,27650791,8531261,13666027,5369105,0.421288379,0.449833048,0.127249776,0.308535875,0.494236385,0.194175458,,,,,,,,,,,,,,,,,,
6,2010,COLORADO,8506,4394,3601,510,4658326,2625365,1726715,306246,0.516576534,0.423348225,0.059957677,0.563585503,0.370672855,0.065741642,,,,,,,,,,,,,,,,,,
