ID,Year,State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor
31,2011,New Jersey,6514,2048,3843,622,6588208,1776824,4151724,659148
32,2011,New Mexico,3932,1415,2209,308,1661742,643674,884094,133974
33,2011,New York,17384,6535,8731,2117,12670592,3576105,7321928,1772020
34,2011,North Carolina,18214,7427,8836,1939,8767108,3840272,3993842,928957
35,2011,North Dakota,4410,2348,1542,520,1210675,738524,407012,65140
36,2011,Ohio,27403,13086,11651,2597,13288223,5289949,6852278,1037372
37,2011,Oklahoma,23730,9790,9584,4351,8293455,3778929,3377194,1136478
38,2011,Oregon,7353,2967,3960,426,4812021,1361808,3177457,272756
39,2011,Pennsylvania,22320,5491,11138,5674,12400088,3010263,7214689,2161810
40,2011,Rhode Island,751,133,462,156,771017,126713,461518,182787
41,2011,South Carolina,9270,4387,3873,1010,6624856,3192662,2902112,530082
42,2011,South Dakota,5877,1877,2897,1103,1662166,413863,1068189,180114
43,2011,Tennessee,19937,9789,8983,1162,9211083,4085086,4619405,506316
44,2011,Texas,51878,27926,22825,1117,42687445,23210275,18721207,730270
45,2011,Utah,2946,1719,1115,112,1838207,1062092,738684,37431
46,2011,Vermont,2717,1298,1232,186,842490,388488,390122,63881
47,2011,Virginia,13524,4811,7551,1161,9081335,3283233,5235552,548894
48,2011,Washington,7743,3966,3412,362,6789382,2411987,3756585,620499
49,2011,West Virginia,7099,3376,2775,947,3423490,1323650,1782514,317275
50,2011,Wisconsin,14024,7555,5399,1059,6338056,3134317,2866316,333810
51,2011,Wyoming,3068,752,1916,399,1238371,194665,865124,178525
52,2011,Puerto Rico,2222,467,1508,247,2082626,538909,1329613,214104
53,2011,Totals,605103,285909,260799,58160,355076225,159968735,165750887,29101217
1,2012, Alabama ,16070,7320,7900,850,8985363,3717955,5005293,262115
2,2012, Alaska ,1173,528,518,124,658950,266633,323524,68497
3,2012, Arizona ,7835,5163,2453,218,4845663,2604684,2029887,210817
4,2012, Arkansas ,12696,7076,4997,621,6159353,3299394,2553162,305777
5,2012, California ,24812,10460,11490,2862,28081411,8969774,14716442,4395195
6,2012, Colorado ,8591,4275,3817,499,4769085,2606491,1912227,250367
7,2012, Connecticut ,4208,1420,2388,400,3290172,680345,2063941,545886
8,2012, Delaware ,862,286,523,53,942620,225509,676663,40448
9,2012, Dist. Of Col. ,239,39,170,30,538596,36395,404649,97552
10,2012, Florida ,11982,8535,3202,243,15897095,11157618,4291915,446280
11,2012, Georgia ,14739,7292,6767,680,9099922,5055381,3775796,268745
12,2012, Hawaii ,1131,347,712,72,1313634,306144,984599,22892
13,2012, Idaho ,4214,1133,2721,360,1639123,356293,1162427,120403
14,2012, Illinois ,26514,15242,9067,2200,12703301,5727541,5716441,1258231
15,2012, Indiana ,18789,7763,9111,1913,7524222,3113139,3656217,754645
16,2012, Iowa ,24496,9568,10134,4774,8018713,3598862,3556851,860514
17,2012, Kansas ,25176,14170,9227,1778,8089654,5582550,2212464,294579
